Table1_ID,Table1_Name,Table2_ID_Match,Table2_Name_Match,Match_Method,Fuzzy_Score,LLM_Score
9211,ROBERT W. BAIRD & CO. INCORPORATED,49552.0,ROBERT W BAIRD CO INC,LLM Refined Fuzzy,82.0,0.85
9211,ROBERT W. BAIRD & CO. Inc,74372.0,ROBERT W BAIRD AND CO INC,LLM Refined Fuzzy,91.0,0.98
12518,WILLIAM BLAIR & COMPANY L.L.C.,26558.0,WILLIAM BLAIR AND CO LLC,LLM Refined Fuzzy,75.0,0.9
12933,"BOENNING & SCATTERGOOD, INC.",36825.0,BOENNING AND SCATTERGOOD INC,LLM Refined Fuzzy,92.0,0.98
18026,"CARTY & COMPANY, INC.",,,No Match,,
18026,"CARTY, HARDING & HEARN, INC.",,,No Match,,
25142,COUGHLIN & COMPANY INC.,42904.0,COUGHLIN AND CO INC,LLM Refined Fuzzy,77.0,0.9
25142,COUGHLIN & Co INC.,42904.0,COUGHLIN AND CO INC,LLM Refined Fuzzy,88.0,0.9
27182,D.A. DAVIDSON & CO.,26719.0,DA DAVIDSON AND CO,LLM Refined Fuzzy,91.0,0.85
36528,FIRST MIDSTATE INC.,23947.0,FIRST MIDSTATE INC,LLM Refined Fuzzy,100.0,0.98
36882,"CABRERA CAPITAL MARKETS, LLC",59376.0,CABRERA CAPITAL MARKETS LLC,LLM Refined Fuzzy,100.0,0.98
49303,"HUTCHINSON, SHOCKEY, ERLEY & CO.",24409.0,HUTCHINSON SHOCKEY ERLEY AND CO,LLM Refined Fuzzy,93.0,0.9
49303,"HUNTINGTON SECURITIES, INC.",72121.0,HUNTINGTON SECURITIES INC,LLM Refined Fuzzy,100.0,0.93
49709,"AMERIPRISE FINANCIAL SERVICES, INC.",63259.0,FINANCIAL SERVICES INC,LLM Refined Fuzzy,80.0,0.8
50825,H2C SECURITIES INC.,67561.0,H2C SECURITIES INC,LLM Refined Fuzzy,100.0,1.0
50916,"RBC Capital Markets, LLC",63949.0,RBC CAPITAL MARKETS LLC,LLM Refined Fuzzy,100.0,1.0
